Step,"16-16 (5,585)","32-32 (11,649)","64-64 (25,313)","128-128 (58,785)","256-256 (150,305)","512-512 (431,649)","1024-1024 (1,386,785)"
1,8.56168079376221,8.74717998504639,8.53093338012695,8.60683250427246,8.76336574554443,8.55796432495117,8.66031455993652
4097,8.83152008056641,9.35756015777588,9.01122570037842,9.33292388916016,10.6086845397949,10.4124546051025,10.8252534866333
8193,8.9876823425293,9.0806474685669,9.77999019622803,10.5389270782471,11.2551355361938,10.6982755661011,12.3141841888428
12289,9.08688163757324,8.95426082611084,10.0300245285034,11.2995147705078,12.5645112991333,11.6973333358765,13.281907081604
16385,9.39198017120361,9.42393302917481,10.5176610946655,11.6917724609375,12.851523399353,12.6887979507446,14.1866874694824
20481,9.53153514862061,9.3786096572876,10.798638343811,12.6435632705688,13.0011644363403,13.8806123733521,14.6033000946045
24577,9.36336898803711,10.0854463577271,11.1384477615356,12.9389562606812,13.9146919250488,13.9762439727783,15.0215616226196
28673,9.55892944335938,10.1667213439941,11.7174730300903,13.2234134674072,14.9531393051147,14.3246049880981,16.2722015380859
32769,9.82446479797363,10.5609035491943,11.3406934738159,14.3556127548218,15.5571088790894,14.3344230651855,15.5824384689331
36865,9.7179765701294,10.8876857757568,11.572151184082,14.4282283782959,16.4975852966309,15.7657947540283,15.1540994644165
40961,9.8503360748291,10.564169883728,12.3583478927612,14.3002319335938,17.3200645446777,15.6216316223145,15.5913524627686
45057,10.1985168457031,11.0122346878052,12.801233291626,16.4265308380127,17.4063777923584,15.5265855789185,17.3645629882813
49153,10.1992273330688,11.1423692703247,13.2971515655518,17.4721031188965,18.7778053283691,16.9660968780518,18.4799098968506
53249,10.2254838943481,11.866213798523,13.9425792694092,17.4046974182129,18.5904998779297,18.4604091644287,18.6749782562256
57345,10.6454458236694,11.9589500427246,14.0305509567261,16.800931930542,19.9308261871338,18.1469287872314,20.8632850646973
61441,10.8046894073486,12.5352725982666,14.9187593460083,17.3827571868897,20.5358180999756,19.4395275115967,22.3887767791748
65537,10.8841934204102,12.6723966598511,14.3371086120605,18.2491722106934,21.3829002380371,20.3918590545654,23.1515026092529
69633,10.8980665206909,12.8107461929321,14.1421976089478,18.0140247344971,22.8088226318359,21.3679313659668,23.835916519165
73729,10.9739847183228,12.7693920135498,14.9879589080811,18.2461452484131,21.3468418121338,22.3644504547119,23.3213672637939
77825,10.8581285476685,12.8024673461914,15.0081758499146,19.9300327301025,22.9684162139893,24.144021987915,25.1540851593018
81921,11.1104326248169,13.1694507598877,15.3901443481445,18.8220252990723,23.5030059814453,24.2092170715332,24.6868381500244
86017,10.8728618621826,13.4390449523926,16.1286277770996,18.8759098052979,24.7025203704834,23.7606601715088,26.7587013244629
90113,11.1042556762695,13.9217729568481,17.1315441131592,18.8951816558838,23.4712524414063,24.2217903137207,25.8816070556641
94209,11.1861782073975,13.6588792800903,17.1812400817871,18.8779201507568,24.2188663482666,26.3364162445068,25.8592643737793
98305,11.5491971969605,14.1253681182861,16.8642082214355,19.4357585906982,24.6526432037354,26.013032913208,26.0331630706787
102401,11.6848363876343,13.844443321228,16.6888217926025,20.5434913635254,24.1904430389404,25.6415309906006,26.250675201416
106497,11.3794794082642,13.7024145126343,17.0179290771484,20.4326686859131,24.9168491363525,26.6920375823975,26.26291847229
110593,11.5554275512695,14.0775585174561,17.1410369873047,20.6792659759522,24.7016887664795,27.8954010009766,25.1307945251465
114689,11.2783336639404,14.213134765625,17.0591773986816,21.0605125427246,24.8584384918213,29.0065479278564,27.4464817047119
118785,11.4988269805908,14.3105974197388,17.0995178222656,20.8795204162598,26.5439853668213,27.6462116241455,27.1721897125244
122881,11.7075147628784,14.3137893676758,17.5406742095947,20.9429569244385,27.97926902771,26.2702350616455,26.9732398986816
126977,11.7093830108643,14.2079887390137,17.4282836914063,20.8009281158447,25.1967334747314,27.2339248657227,28.8700675964355
131073,11.7938575744629,14.5104484558105,17.6694793701172,20.7924842834473,26.9011611938477,27.1417198181152,28.1121559143066
135169,12.0275192260742,14.7886075973511,17.5619888305664,21.3806018829346,26.6479988098145,27.0660057067871,26.5465049743652
139265,12.1608142852783,14.7766199111938,17.8927936553955,21.6713829040527,26.4735012054443,27.961124420166,28.8814525604248
143361,12.2257137298584,14.6404800415039,17.5271263122559,21.7245407104492,29.4533138275147,28.7674407958984,27.7659301757813
147457,12.2173633575439,14.8911237716675,17.4960479736328,21.2644348144531,28.216775894165,30.24582862854,27.5043563842773
151553,11.9017581939697,14.870364189148,17.6192111968994,21.4673500061035,27.1772842407227,29.2389965057373,27.805248260498
155649,11.8615961074829,15.2490711212158,17.6866970062256,22.0205020904541,28.9163494110107,28.6967678070068,29.0054206848145
159745,12.2546100616455,15.2167072296143,17.5985355377197,21.981258392334,28.2891902923584,27.9951057434082,29.7159881591797
163841,12.5350589752197,15.500147819519,17.4676074981689,21.7949771881104,28.1076946258545,29.1785774230957,30.0585422515869
167937,12.9997310638428,15.7854118347168,17.2483596801758,22.7620067596436,27.8899574279785,29.5711765289307,30.2133636474609
172033,13.2041015625,15.7642517089844,17.525182723999,22.2787342071533,28.9962882995605,30.04128074646,29.2584800720215
176129,13.4294567108154,15.5654096603394,18.3804950714111,22.0497455596924,28.4629421234131,30.301212310791,32.1182441711426
180225,13.4466047286987,15.7640886306763,18.6126518249512,22.6505889892578,29.2519016265869,30.1780071258545,32.2703895568848
